"COLLEGIO";"COMUNE";"ELETTORI_TOTALI";"ELETTORI_MASCHI";"VOTANTI_TOTALI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTI_LISTA";"ELETTO";"COGNOME";"NOME";"SESSO"
"VALLE D'AOSTA";"GRESSAN";2501;1264;2055;1040;59;"IL POPOLO DELLA LIBERTA'";308,00;"N";"GAMBARDELLA";"GIUSEPPE";"M"
"VALLE D'AOSTA";"GRESSAN";2501;1264;2055;1040;59;"VALLEE D'AOSTE";719,00;"N";"PERRON";"EGO";"M"
"VALLE D'AOSTA";"GRESSAN";2501;1264;2055;1040;59;"AUT.LIB. DEMOCRATIE";833,00;"E";"NICCO";"ROBERTO ROLANDO";"M"
"VALLE D'AOSTA";"GRESSAN";2501;1264;2055;1040;59;"LEGA NORD";49,00;"N";"GIOVANNACCI";"PATRIZIO";"M"
"VALLE D'AOSTA";"GRESSONEY-LA-TRINITE'";250;114;199;90;3;"AZ.SOCIALE MUSSOLINI";0,00;"N";"BORLUZZI";"GIANCARLO";"M"
"VALLE D'AOSTA";"GRESSONEY-LA-TRINITE'";250;114;199;90;3;"IL POPOLO DELLA LIBERTA'";31,00;"N";"GAMBARDELLA";"GIUSEPPE";"M"
"VALLE D'AOSTA";"GRESSONEY-LA-TRINITE'";250;114;199;90;3;"VALLEE D'AOSTE";72,00;"N";"PERRON";"EGO";"M"
"VALLE D'AOSTA";"GRESSONEY-LA-TRINITE'";250;114;199;90;3;"AUT.LIB. DEMOCRATIE";71,00;"E";"NICCO";"ROBERTO ROLANDO";"M"
"VALLE D'AOSTA";"GRESSONEY-LA-TRINITE'";250;114;199;90;3;"LEGA NORD";17,00;"N";"GIOVANNACCI";"PATRIZIO";"M"
"VALLE D'AOSTA";"GRESSONEY-SAINT-JEAN";653;323;521;252;12;"AZ.SOCIALE MUSSOLINI";19,00;"N";"BORLUZZI";"GIANCARLO";"M"
"VALLE D'AOSTA";"GRESSONEY-SAINT-JEAN";653;323;521;252;12;"IL POPOLO DELLA LIBERTA'";115,00;"N";"GAMBARDELLA";"GIUSEPPE";"M"
"VALLE D'AOSTA";"GRESSONEY-SAINT-JEAN";653;323;521;252;12;"VALLEE D'AOSTE";169,00;"N";"PERRON";"EGO";"M"
"VALLE D'AOSTA";"GRESSONEY-SAINT-JEAN";653;323;521;252;12;"AUT.LIB. DEMOCRATIE";170,00;"E";"NICCO";"ROBERTO ROLANDO";"M"
"VALLE D'AOSTA";"GRESSONEY-SAINT-JEAN";653;323;521;252;12;"LEGA NORD";27,00;"N";"GIOVANNACCI";"PATRIZIO";"M"
"VALLE D'AOSTA";"HONE";953;446;793;388;21;"AZ.SOCIALE MUSSOLINI";13,00;"N";"BORLUZZI";"GIANCARLO";"M"
"VALLE D'AOSTA";"HONE";953;446;793;388;21;"IL POPOLO DELLA LIBERTA'";82,00;"N";"GAMBARDELLA";"GIUSEPPE";"M"
"VALLE D'AOSTA";"HONE";953;446;793;388;21;"VALLEE D'AOSTE";299,00;"N";"PERRON";"EGO";"M"
"VALLE D'AOSTA";"HONE";953;446;793;388;21;"AUT.LIB. DEMOCRATIE";318,00;"E";"NICCO";"ROBERTO ROLANDO";"M"
