"REGIONE";"PROVINCIA";"NUM_REFERENDUM";"QUESITO";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SKBIANCHE";"NUMVOTISI";"NUMVOTINO"
"TRENTINO A.A.";"BOLZANO";"6";"Licenziamenti";376030;183442;"121638";"60128";"14298";"35067";70669
"LOMBARDIA";"BRESCIA";"5";"Incarichi extragiudiziari dei magistrati";899160;432848;"261387";"129872";"27491";"166959";61253
"LOMBARDIA";"BRESCIA";"2";"Elezione Camera dei Deputati (abolizione del voto di lista)";899160;432848;"265605";"132169";"23157";"183974";52134
"LOMBARDIA";"BRESCIA";"1";"Rimborso spese per consultazioni elettorali e referendarie";899160;432848;"263034";"131106";"20590";"164096";73314
"LOMBARDIA";"BRESCIA";"4";"Ordinamento giudiziario";899160;432848;"261230";"129801";"29626";"152918";72387
"LOMBARDIA";"BRESCIA";"6";"Licenziamenti";899160;432848;"268429";"133771";"12421";"83644";167772
"LOMBARDIA";"BRESCIA";"7";"Trattenute associative e sindacali tramite gli enti previdenziali";899160;432848;"265735";"132148";"20110";"131883";108580
"LOMBARDIA";"BRESCIA";"3";"Elezione del Consiglio Superiore della Magistratura";899160;432848;"260423";"129365";"35840";"146734";70389
"PUGLIA";"BRINDISI";"2";"Elezione Camera dei Deputati (abolizione del voto di lista)";342408;164236;"86926";"45052";"9672";"59888";14166
"PUGLIA";"BRINDISI";"3";"Elezione del Consiglio Superiore della Magistratura";342408;164236;"86447";"44678";"13284";"51960";17654
"PUGLIA";"BRINDISI";"4";"Ordinamento giudiziario";342408;164236;"86337";"44628";"12296";"52553";18459
"PUGLIA";"BRINDISI";"5";"Incarichi extragiudiziari dei magistrati";342408;164236;"86456";"44751";"11206";"56103";16084
"PUGLIA";"BRINDISI";"7";"Trattenute associative e sindacali tramite gli enti previdenziali";342408;164236;"86597";"44831";"10042";"50663";22905
"PUGLIA";"BRINDISI";"6";"Licenziamenti";342408;164236;"86926";"45012";"6764";"29368";48203
