"COLLEGIO";"COMUNE";"ELETTORI_TOTALI";"ELETTORI_MASCHI";"VOTANTI_TOTALI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTI_LISTA";"ELETTO";"COGNOME";"NOME";"SESSO"
"VALLE D'AOSTA";"CHALLAND-SAINT-ANSELME";593;289;466;236;15;"LEGA NORD";25,00;"N";"SPELGATTI";"NICOLETTA";"F"
"VALLE D'AOSTA";"CHALLAND-SAINT-VICTOR";476;241;366;193;8;"UNION VALDOTAINE PROGRESSISTE";83,00;"N";"VIERIN";"LAURENT";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-VICTOR";476;241;366;193;8;"FRATELLI D'ITALIA";9,00;"N";"MELONI";"GIORGIA";"F"
"VALLE D'AOSTA";"CHALLAND-SAINT-VICTOR";476;241;366;193;8;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";51,00;"N";"COGNETTA";"ROBERTO UGO MASSIMO";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-VICTOR";476;241;366;193;8;"AUTONOMIE LIBERTE' DEMOCRATIE";30,00;"N";"GUICHARDAZ";"JEAN PIERRE";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-VICTOR";476;241;366;193;8;"NATION VAL D'OUTA";0,00;"N";"CAMPION";"EROS";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-VICTOR";476;241;366;193;8;"FARE PER FERMARE IL DECLINO";2,00;"N";"BUILLET";"FABRIZIO";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-VICTOR";476;241;366;193;8;"VALLEE D'AOSTE";147,00;"E";"MARGUERETTAZ";"RUDI FRANCO";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-VICTOR";476;241;366;193;8;"UNIONE DI CENTRO";6,00;"N";"BRINGHEN";"LUCA";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-VICTOR";476;241;366;193;8;"CASAPOUND ITALIA";0,00;"N";"LADU";"ANDREA";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-VICTOR";476;241;366;193;8;"LEGA NORD";19,00;"N";"SPELGATTI";"NICOLETTA";"F"
"VALLE D'AOSTA";"CHAMBAVE";745;380;620;317;17;"UNION VALDOTAINE PROGRESSISTE";180,00;"N";"VIERIN";"LAURENT";"M"
"VALLE D'AOSTA";"CHAMBAVE";745;380;620;317;17;"FRATELLI D'ITALIA";19,00;"N";"MELONI";"GIORGIA";"F"
"VALLE D'AOSTA";"CHAMBAVE";745;380;620;317;17;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";76,00;"N";"COGNETTA";"ROBERTO UGO MASSIMO";"M"
"VALLE D'AOSTA";"CHAMBAVE";745;380;620;317;17;"AUTONOMIE LIBERTE' DEMOCRATIE";128,00;"N";"GUICHARDAZ";"JEAN PIERRE";"M"
"VALLE D'AOSTA";"CHAMBAVE";745;380;620;317;17;"NATION VAL D'OUTA";1,00;"N";"CAMPION";"EROS";"M"
"VALLE D'AOSTA";"CHAMBAVE";745;380;620;317;17;"FARE PER FERMARE IL DECLINO";2,00;"N";"BUILLET";"FABRIZIO";"M"
"VALLE D'AOSTA";"CHAMBAVE";745;380;620;317;17;"VALLEE D'AOSTE";155,00;"E";"MARGUERETTAZ";"RUDI FRANCO";"M"
"VALLE D'AOSTA";"CHAMBAVE";745;380;620;317;17;"UNIONE DI CENTRO";8,00;"N";"BRINGHEN";"LUCA";"M"
"VALLE D'AOSTA";"CHAMBAVE";745;380;620;317;17;"CASAPOUND ITALIA";1,00;"N";"LADU";"ANDREA";"M"
"VALLE D'AOSTA";"CHAMBAVE";745;380;620;317;17;"LEGA NORD";11,00;"N";"SPELGATTI";"NICOLETTA";"F"
"VALLE D'AOSTA";"CHAMOIS";85;47;66;35;1;"UNION VALDOTAINE PROGRESSISTE";15,00;"N";"VIERIN";"LAURENT";"M"
"VALLE D'AOSTA";"CHAMOIS";85;47;66;35;1;"FRATELLI D'ITALIA";0,00;"N";"MELONI";"GIORGIA";"F"
"VALLE D'AOSTA";"CHAMOIS";85;47;66;35;1;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";7,00;"N";"COGNETTA";"ROBERTO UGO MASSIMO";"M"
"VALLE D'AOSTA";"CHAMOIS";85;47;66;35;1;"AUTONOMIE LIBERTE' DEMOCRATIE";13,00;"N";"GUICHARDAZ";"JEAN PIERRE";"M"
"VALLE D'AOSTA";"CHAMOIS";85;47;66;35;1;"NATION VAL D'OUTA";2,00;"N";"CAMPION";"EROS";"M"
"VALLE D'AOSTA";"CHAMOIS";85;47;66;35;1;"FARE PER FERMARE IL DECLINO";1,00;"N";"BUILLET";"FABRIZIO";"M"
"VALLE D'AOSTA";"CHAMOIS";85;47;66;35;1;"VALLEE D'AOSTE";22,00;"E";"MARGUERETTAZ";"RUDI FRANCO";"M"
"VALLE D'AOSTA";"CHAMOIS";85;47;66;35;1;"UNIONE DI CENTRO";1,00;"N";"BRINGHEN";"LUCA";"M"
"VALLE D'AOSTA";"CHAMOIS";85;47;66;35;1;"CASAPOUND ITALIA";0,00;"N";"LADU";"ANDREA";"M"
"VALLE D'AOSTA";"CHAMOIS";85;47;66;35;1;"LEGA NORD";4,00;"N";"SPELGATTI";"NICOLETTA";"F"
"VALLE D'AOSTA";"CHAMPDEPRAZ";555;275;477;245;15;"UNION VALDOTAINE PROGRESSISTE";91,00;"N";"VIERIN";"LAURENT";"M"
"VALLE D'AOSTA";"CHAMPDEPRAZ";555;275;477;245;15;"FRATELLI D'ITALIA";7,00;"N";"MELONI";"GIORGIA";"F"
"VALLE D'AOSTA";"CHAMPDEPRAZ";555;275;477;245;15;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";68,00;"N";"COGNETTA";"ROBERTO UGO MASSIMO";"M"
"VALLE D'AOSTA";"CHAMPDEPRAZ";555;275;477;245;15;"AUTONOMIE LIBERTE' DEMOCRATIE";73,00;"N";"GUICHARDAZ";"JEAN PIERRE";"M"
"VALLE D'AOSTA";"CHAMPDEPRAZ";555;275;477;245;15;"NATION VAL D'OUTA";0,00;"N";"CAMPION";"EROS";"M"
"VALLE D'AOSTA";"CHAMPDEPRAZ";555;275;477;245;15;"FARE PER FERMARE IL DECLINO";2,00;"N";"BUILLET";"FABRIZIO";"M"
"VALLE D'AOSTA";"CHAMPDEPRAZ";555;275;477;245;15;"VALLEE D'AOSTE";189,00;"E";"MARGUERETTAZ";"RUDI FRANCO";"M"
